midlatitude summer,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1.01E+03,294.2,2.50E+19,1.86E+04,3.02E-02,3.20E-01,1.50E-01,1.70E+00
1,9.02E+02,289.7,2.26E+12,1.38E+04,3.34E-02,3.20E-01,1.45E-01,1.70E+00
2,8.02E+02,295.2,2.04E+19,9.68E+03,3.69E-02,3.20E-01,1.40E-01,1.70E+00
3,7.10E+02,279.2,1.84E+19,5.98E+03,4.22E-02,3.20E-01,1.35E-01,1.70E+00
4,6.28E+02,273.2,1.67E+19,3.81E+03,4.82E-02,3.20E-01,1.31E-01,1.70E+00
5,5.54E+02,287.2,1.50E+19,2.23E+03,5.51E-02,3.20E-01,1.30E-01,1.69E+00
6,4.87E+02,261.2,1.35E+19,1.51E+03,6.41E-02,3.20E-01,1.29E-01,1.67E+00
7,4.26E+02,254.7,1.21E+19,1.02E+03,7.76E-02,3.20E-01,1.26E-01,1.65E+00
8,3.72E+02,248.2,1.09E+19,6.46E+02,9.13E-02,3.20E-01,1.20E-01,1.63E+00
9,3.24E+02,241.7,9.72E+18,4.13E+02,1.11E-01,3.16E-01,1.09E-01,1.62E+00
10,2.81E+02,235.3,8.66E+18,2.47E+02,1.30E-01,3.10E-01,9.96E-02,1.58E+00
11,2.43E+02,228.8,7.70E+18,9.56E+01,1.79E-01,2.99E-01,8.96E-02,1.54E+00
12,2.09E+02,222.3,6.81E+10,2.94E+01,2.23E-01,2.94E-01,7.81E-02,1.51E+00
13,1.79E+02,215.8,6.01E+18,8.00E+00,3.00E-01,2.86E-01,6.37E-02,1.48E+00
14,1.53E+02,215.7,5.14E+18,5.00E+00,4.40E-01,2.80E-01,5.03E-02,1.45E+00
15,1.30E+02,215.7,4.37E+18,3.40E+00,5.00E-01,2.72E-01,3.94E-02,1.42E+00
16,1.11E+02,215.7,3.73E+18,3.30E+00,6.00E-01,2.61E-01,3.07E-02,1.39E+00
17,9.50E+01,215.7,3.19E+18,3.20E+00,7.00E-01,2.42E-01,2.49E-02,1.36E+00
18,8.12E+01,216.8,2.72E+18,3.15E+00,1.00E+00,2.17E-01,1.97E-02,1.32E+00
19,6.95E+01,217.9,2.31E+18,3.20E+00,1.50E+00,1.84E-01,1.66E-02,1.28E+00
20,6.95E+01,219.2,1.97E+18,3.30E+00,2.00E+00,1.61E-01,1.33E-02,1.22E+00
21,5.10E+01,220.4,1.68E+13,3.45E+00,2.40E+00,1.32E-01,1.23E-02,1.15E+00
22,4.37E+01,221.6,1.43E+18,3.60E+00,2.90E+00,1.15E-01,1.23E-02,1.07E+00
23,3.76E+01,222.8,1.22E+18,3.85E+00,3.40E+00,1.04E-01,1.31E-02,9.73E-01
24,3.22E+01,223.9,1.04E+18,4.00E+00,4.00E+00,9.62E-02,1.40E-02,8.80E-01
25,2.77E+01,225.1,8.92E+17,4.20E+00,4.80E+00,8.96E-02,1.52E-02,7.89E-01
27.6,1.91E+01,228.5,6.05E+17,4.45E+00,6.00E+00,8.01E-02,1.72E-02,7.05E-01
30,1.32E+01,233.7,4.09E+17,4.70E+00,7.00E+00,6.70E-02,2.00E-02,6.32E-01
32.6,9.30E+00,239,2.82E+17,4.87E+00,8.10E+00,4.95E-02,2.27E-02,5.59E-01
35,6.52E+00,245.2,1.93E+17,4.95E+00,8.90E+00,3.70E-02,2.49E-02,5.01E-01
37.5,4.64E+00,251.3,1.34E+17,5.00E+00,8.70E+00,2.52E-02,2.72E-02,4.45E-01
40,3.33E+00,257.5,9.37E+16,5.10E+00,7.55E+00,1.74E-02,2.96E-02,3.92E-01
42.5,2.41E+00,263.7,6.62E+16,5.30E+00,5.90E+00,1.16E-02,3.14E-02,3.39E-01
45,1.76E+00,269.9,4.73E+16,5.45E+00,4.50E+00,7.67E-03,3.31E-02,2.87E-01
47.5,1.29E+00,275.2,3.40E+16,5.50E+00,3.50E+00,5.32E-03,3.49E-02,2.38E-01
50,9.51E-01,275.7,2.50E+16,5.50E+00,2.80E+00,3.22E-30,3.65E-02,1.94E-01
55,5.15E-01,269.3,1.39E+16,5.35E+00,1.80E+00,2.03E-03,3.92E-02,1.57E-01
60,2.72E-01,257.1,7.67E+15,5.00E+00,1.30E+00,1.40E-03,4.67E-02,1.50E-01
65,1.39E-01,240.1,4.20E+16,4.40E+00,8.00E-01,1.02E-03,6.40E-02,1.50E-01
70,6.70E-02,218,2.27E+15,3.70E+00,4.00E-01,7.77E-04,1.18E-01,1.50E-01
75,3.00E-02,196.1,1.11E+15,2.95E+00,1.90E-01,6.26E-04,2.94E-01,1.50E-01
80,1.20E-02,174.1,5.00E+14,2.10E+00,2.00E-01,5.17E-04,6.82E-01,1.50E-01
85,4.48E-03,165.1,1.97E+14,1.33E+00,5.70E-01,4.35E-04,1.47E+00,1.50E-01
90,1.84E-03,165,7.20E+13,8.50E-01,7.50E-01,3.73E-04,2.85E+00,1.40E-01
95,6.25E-04,178.3,2.54E+13,5.40E-01,7.00E-01,3.24E-04,5.17E+00,1.30E-01
100,2.58E-04,190.5,9.82E+12,4.00E-01,4.03E-01,2.84E-04,1.01E+01,1.20E-01
105,1.17E-04,222.2,3.82E+12,3.40E-01,2.00E-01,2.52E-04,1.87E+01,1.10E-01
110,6.11E-05,262.4,1.69E+12,2.80E-01,5.00E-02,2.26E-04,2.86E+01,9.50E-02
115,3.56E-05,316.8,8.15E+11,2.40E-01,5.00E-03,2.04E-04,3.89E+01,6.00E-02
120,2.27E-05,380,4.33E+11,2.00E-01,5.00E-04,1.85E-04,5.00E+01,3.00E-02
