midlatitude winter,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1.02E+03,272.2,2.71E+19,4.32E+03,2.78E-02,3.20E-01,1.50E-01,1.70E+00
1,8.97E+02,268.7,2.42E+19,3.46E+03,2.80E-02,3.20E-01,1.45E-01,1.70E+00
2,7.90E+02,265.2,2.16E+19,2.79E+03,2.85E-02,3.20E-01,1.40E-01,1.70E+00
3,6.94E+02,261.7,1.92E+19,2.09E+03,3.20E-02,3.20E-01,1.35E-01,1.70E+00
4,6.08E+02,255.7,1.72E+19,1.28E+03,3.57E-02,3.20E-01,1.31E-01,1.70E+00
5,5.31E+02,249.7,1.54E+19,8.24E+02,4.72E-02,3.20E-01,1.30E-01,1.69E+00
6,4.63E+02,243.7,1.38E+19,5.10E+02,5.84E-02,3.20E-01,1.29E-01,1.67E+00
7,4.02E+02,237.7,1.23E+19,2.32E+02,7.89E-02,3.20E-01,1.25E-01,1.65E+00
8,3.47E+02,231.7,1.09E+19,1.08E+02,1.04E-01,3.20E-01,1.19E-01,1.63E+00
9,2.99E+02,225.7,9.61E+18,5.57E+01,1.57E-01,3.16E-01,1.09E-01,1.62E+00
10,2.57E+02,219.7,8.47E+18,2.96E+01,2.37E-01,3.10E-01,9.96E-02,1.58E+00
11,2.20E+02,219.2,7.27E+18,1.00E+01,3.62E-01,2.99E-01,8.96E-02,1.54E+00
12,1.88E+02,218.7,6.24E+18,6.00E+00,5.23E-01,2.94E-01,7.81E-02,1.51E+00
13,1.61E+02,218.2,5.35E+18,5.00E+00,7.04E-01,2.86E-01,6.37E-02,1.48E+00
14,1.38E+02,217.7,4.59E+18,4.80E+00,8.00E-01,2.80E-01,5.03E-02,1.45E+00
15,1.18E+02,217.2,3.93E+18,4.70E+00,9.00E-01,2.72E-01,3.94E-02,1.42E+00
16,1.01E+02,216.7,3.37E+18,4.50E+00,1.10E+00,2.61E-01,3.07E-02,1.39E+00
17,8.61E+01,216.2,2.87E+18,4.50E+00,1.40E+00,2.42E-01,2.49E-02,1.36E+00
18,7.36E+01,215.7,2.47E+18,4.50E+00,1.80E+00,2.17E-01,1.97E-02,1.62E+00
19,6.28E+01,215.2,2.12E+18,4.50E+00,2.30E+00,1.84E-01,1.55E-02,1.28E+00
20,5.37E+01,215.2,1.81E+18,4.50E+00,2.90E+00,1.62E-01,1.33E-02,1.22E+00
21,4.58E+01,215.2,1.54E+18,4.50E+00,3.50E+00,1.36E-01,1.23E-02,1.15E+00
22,3.91E+01,215.2,1.32E+18,4.53E+00,3.90E+00,1.23E-01,1.23E-02,1.07E+00
23,3.34E+01,215.2,1.13E+18,4.55E+00,4.30E+00,1.12E-01,1.31E-02,9.73E-01
24,2.86E+01,215.2,9.63E+17,4.60E+00,4.70E+00,1.05E-01,1.40E-02,8.80E-01
25,2.44E+01,215.2,8.22E+17,4.65E+00,5.10E+00,9.66E-02,1.50E-02,7.93E-01
27.6,1.65E+01,215.5,5.54E+17,4.70E+00,5.60E+00,8.69E-02,1.60E-02,7.13E-01
30,1.11E+01,217.4,3.70E+17,4.75E+00,6.10E+00,7.52E-02,1.71E-02,6.44E-01
32.6,7.56E+00,220.4,2.49E+17,4.80E+00,6.80E+00,6.13E-02,1.85E-02,5.75E-01
35,5.18E+00,227.9,1.64E+17,4.85E+00,7.10E+00,5.12E-02,2.00E-02,5.05E-01
37.5,3.60E+00,235.5,1.11E+17,4.90E+00,7.20E+00,3.97E-02,2.15E-02,4.48E-01
40,2.53E+00,243.2,7.54E+16,4.95E+00,6.90E+00,3.00E-02,2.33E-02,3.93E-01
42.5,1.80E+00,250.8,5.20E+16,5.00E+00,5.90E+00,2.08E-02,2.63E-02,3.41E+00
45,1.29E+00,258.5,3.62E+16,5.00E+00,4.60E+00,1.31E-02,3.06E-02,2.88E-01
47.5,9.40E-01,265.1,2.57E+16,5.00E+00,3.70E+00,8.07E-03,3.80E-02,2.39E-01
50,6.83E-01,265.7,1.86E+16,4.95E+00,2.75E+00,4.16E-03,6.25E-02,1.94E-01
55,3.62E-01,260.6,1.01E-16,4.85E+00,1.70E+00,2.63E-03,1.48E-01,1.57E-01
60,1.88E-01,250.8,5.43E+15,4.50E+00,1.00E+00,1.81E-03,2.93E-01,1.50E-01
65,9.50E-02,240.9,2.86E+15,4.00E+00,5.50E-01,1.32E-03,5.59E-01,1.50E-01
70,4.70E-02,230.7,1.48E+15,3.30E+00,3.20E-01,1.01E-03,1.08E+00,1.50E-01
75,2.22E-02,220.4,7.30E+14,2.70E+00,2.50E-01,7.88E-04,1.90E+00,1.50E-01
80,1.03E-02,210.1,3.55E+14,2.00E+00,2.30E-01,6.33E-04,2.96E+00,1.50E-01
85,4.56E-03,199.8,1.65E+14,1.33E+00,5.50E-01,5.19E-04,4.53E+00,1.50E-01
90,1.98E-03,199.5,7.19E+13,8.50E-01,8.00E-01,4.33E-04,6.86E+00,1.40E-01
95,8.77E-04,208.3,6.05E+13,5.40E-01,8.00E-01,3.67E-04,1.05E+01,1.30E-01
