subarctic summer,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1010,287.2,2.55E+19,1.19E+04,0.0241,0.31,0.15,1.7
1,896,281.7,2.31E+19,8.70E+03,0.0294,0.31,0.145,1.7
2,792,276.3,2.08E+19,6.75E+03,0.0338,0.31,0.14,1.7
3,700,270.9,1.87E+19,4.82E+03,0.0389,0.31,0.135,1.7
4,616,265.5,1.68E+19,3.38E+03,0.0448,0.308,0.131,1.7
5,541,260.1,1.51E+19,2.22E+03,0.0533,0.302,0.13,1.69
6,474,253.1,1.36E+19,1.33E+03,0.0656,0.291,0.129,1.67
7,413,246.1,1.22E+19,7.97E+02,0.0774,0.282,0.125,1.65
8,359,239.2,1.09E+19,4.00E+02,0.0911,0.276,0.119,1.63
9,311,232.2,9.70E+18,1.30E+02,0.142,0.27,0.109,1.62
10,267,225.2,8.62E+18,4.24E+01,0.189,0.265,0.0996,1.58
11,230,225.2,7.40E+18,1.33E+01,0.305,0.26,0.0896,1.54
12,198,225.2,6.36E+18,6.00E+00,0.41,0.255,0.0781,1.51
13,170,225.2,5.47E+18,4.45E+00,0.5,0.249,0.0637,1.47
14,146,225.2,4.70E+18,4.00E+00,0.6,0.243,0.0503,1.43
15,126,225.2,4.06E+18,4.00E+00,0.7,0.236,0.0394,1.39
16,108,225.2,3.48E+18,4.00E+00,0.8,0.228,0.0307,1.34
17,2.8,225.2,2.99E+18,4.05E+00,1,0.218,0.0249,1.29
18,79.8,225.2,2.57E+18,4.30E+00,1.3,0.204,0.0197,1.23
19,68.6,225.2,2.21E+18,4.50E+00,1.7,0.182,0.0155,1.16
20,59,225.2,1.90E+18,4.60E+00,2.1,0.157,0.0133,1.07
21,50.7,225.2,1.63E+18,4.70E+00,2.7,0.135,0.0123,0.99
22,43.6,225.2,1.40E+18,4.80E+00,3.3,0.122,0.0123,0.917
23,37.5,225.2,1.21E+18,4.83E+00,3.7,0.11,0.0131,0.857
24,32.3,226.6,1.03E+18,4.85E+00,4.2,0.0989,0.014,0.801
25,27.8,228.1,8.83E+17,4.90E+00,4.5,0.0878,0.0151,0.748
27.6,19.2,231,6.03E+17,4.95E+00,5.3,0.0733,0.0165,0.696
30,13.4,235.1,4.13E+17,5.00E+00,5.7,0.0594,0.0181,0.644
32.6,9.4,240,2.84E+17,5.00E+00,6.9,0.0415,0.02,0.589
35,6.61,247.2,1.94E+17,5.00E+00,7.7,0.0303,0.0218,0.524
37.5,4.72,254.6,1.34E+17,5.00E+00,7.8,0.0195,0.0234,0.451
40,3.4,262.1,9.40E+16,5.00E+00,7,0.0127,0.025,0.371
42.5,2.48,269.5,6.67E+16,5.00E+00,5.4,9.00E-03,0.0265,0.299
45,1.82,273.6,4.82E+16,5.00E+00,4.2,6.29E-03,0.0281,0.245
47.5,1.34,276.2,3.51E+16,5.00E+00,3.2,4.56E-03,0.03,0.2
50,0.987,277.2,2.59E+16,4.95E+00,2.5,2.80E-03,0.0322,0.166
55,5.37E-01,274,1.42E+16,4.85E+00,1.7,1.77E-03,0.0365,0.15
60,2.88E-01,262.7,7.95E+15,4.50E+00,1.2,1.21E-03,0.0459,0.15
65,0.147,239.7,4.45E+15,4.00E+00,0.8,8.87E-04,0.0838,0.15
70,0.071,216.6,2.38E+15,3.30E+00,0.4,6.76E-04,0.118,0.15
75,3.20E-02,193.6,1.20E+15,2.7,0.2,5.54E-04,0.303,0.15
80,1.25E-02,170.6,5.31E+14,2,0.18,4.65E-04,0.789,0.15
85,4.51E-03,161.7,2.02E+14,1.33,0.65,3.98E-04,1.82,0.15
90,1.61E-03,161.6,7.22E+13,0.85,0.9,3.05E-04,3.4,0.14
95,6.06E-04,176.8,2.48E+13,0.54,0.8,2.71E-04,5.92,0.13
100,2.48E-04,190.4,9.44E+12,0.4,0.4,2.44E-04,10.4,0.12
105,1.13E-04,226,3.62E+12,0.34,0.2,2.21E-04,18.8,0.11
110,6.00E-05,270.1,1.61E+12,0.28,0.05,2.02E-04,28.7,0.095
115,3.54E-05,322.7,7.95E+11,0.24,0.005,1.84E-04,38.9,0.06
120,2.26E-05,380,4.31E+11,0.2,0.0005,0.000185,50,0.03
