subarctic winter,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1.01E+03,257.2,2.86E+19,1.41E+03,1.80E-02,0.31,3.20E-01,1.70E+00
1,8.88E+02,239.1,2.48E+19,1.62E+03,2.00E-02,0.31,3.20E-01,1.70E+00
2,7.78E+02,255.9,2.20E+19,1.43E+03,2.34E-02,0.31,3.20E-01,1.70E+00
3,6.80E+02,252.7,1.95E+19,1.17E+03,2.77E-02,0.31,3.20E-01,1.70E+00
4,5.93E+02,247.7,1.74E+19,7.90E+03,3.25E-02,0.308,3.20E-01,1.70E+00
5,5.52E+02,240.9,1.55E+19,4.31E+02,3.80E-02,0.302,3.20E-01,1.69E+00
6,4.47E+02,234.1,1.38E+19,2.70E+02,4.45E-02,0.291,3.20E-01,1.67E+00
7,3.85E+02,227.3,1.23E+19,1.47E+02,7.25E-02,0.282,3.20E-01,1.65E+00
8,3.31E+02,220.6,1.09E+19,3.38E+01,1.04E-01,0.276,3.20E-01,1.63E+00
9,2.28E+02,217.2,9.44E+18,2.98E+01,2.10E-01,0.27,3.16E-01,1.62E+00
10,2.42E+02,217.2,8.07E+18,2.00E+01,3.00E-01,0.265,3.10E-01,1.58E+00
11,2.07E+02,217.2,6.90E+18,1.00E+01,3.50E-01,0.26,2.90E-01,1.54E+00
12,1.77E+02,217.2,5.89E+18,6,4.00E-01,0.255,2.94E-01,1.51E+00
13,1.51E+02,217.2,5.04E+18,4.45,6.50E-01,0.249,2.86E-01,1.47
14,1.29E+02,217.2,4.31E+18,4.5,9.00E-01,0.243,2.80E-01,1.43
15,1.10E+02,217.2,3.68E+18,4.55,1.20E+00,0.236,2.70E-01,1.39
16,9.43E+01,216.6,3.16E+18,4.65,1.50E+00,0.228,2.61E-01,1.34
17,8.06E+01,216,2.70E+18,4.65,1.90E+00,0.218,2.42E-01,1.29E+00
18,6.88E+01,215.4,2.32E+18,4.75,2.45E+00,0.204,2.17E-01,1.23E+00
19,5.88E+01,214.8,1.98E+18,4.75,3.1,0.182,1.84E-01,1.16E+00
20,5.01E+01,214.2,1.70E+18,4.85,3.7,0.157,1.62E-01,1.08
21,4.28E+01,213.6,1.45E+18,4.85,4,0.135,1.36E-01,1.01E+00
22,3.65E+01,213,1.24E+18,4.9,4.2,0.122,1.23E-01,9.56E-01
23,3.11E+01,212.4,1.06E+18,4.95,4.50E+00,0.11,1.12E-01,9.01E-01
24,2.65E+01,211.8,9.07E+17,5,4.6,0.0989,1.04E-01,8.48E-01
25,2.26E+01,211.2,7.74E+17,5,4.7,0.0878,9.57E-02,7.96E-01
27.6,1.51E+01,213.6,5.13E+17,5,4.9,0.0733,6.60E-02,7.45E-01
30,1.02E+01,216,3.42E+17,5,5.4,0.0594,7.31E-02,6.94E-01
32.6,6.91E+00,218.5,2.29E+17,5,5.9,0.0415,5.71E-02,6.43E-01
35,4.701,222.3,1.53E+17,5,6.2,0.0303,4.67E-02,5.88E-01
37.5,3.23,228.5,1.03E+17,5,6.25,0.0195,3.44E-02,5.24E-01
40,2.243,234.7,6.93E+16,5,5.9,0.0127,2.47E-02,4.51E-01
42.5,1.57E+00,240.8,4.73E+16,5,5.10E+00,9.00E-03,1.63E-02,3.71E-01
45,1.113,247,3.27E+16,5,4.1,6.29E-03,1.07E-02,3.00E-01
47.5,7.90E-01,253.2,2.26E+16,5,3.00E+00,4.56E-03,7.06E-03,2.45E-01
50,5.72E-01,259.3,1.60E+16,4.95E+00,2.6,2.80E-03,3.97E-03,1.98E-01
55,2.99E-01,259.1,8.36E+15,4.85,1.60E+00,1.77E-03,2.51E-03,1.59E-01
60,1.55E-01,250.9,4.48E+15,4.50E+00,0.95,1.21E-03,1.73E-03,1.50E-01
65,7.90E-02,248.4,2.31E+15,4.00E+00,6.50E-01,8.87E-04,1.26E-03,1.50E-01
70,4.00E-02,245.4,1.18E+15,3.3,0.5,6.76E-04,9.60E-04,1.50E-01
75,2.00E-02,234.7,6.18E+14,2.70E+00,3.30E-01,5.54E-04,7.55E-04,1.50E-01
80,9.66E-03,223.9,3.13E+14,2,1.30E-01,4.65E-04,6.10E-04,1.50E-01
85,4.50E-03,213.1,1.53E+14,1.33,0.75,3.98E-04,5.02E-04,1.50E-01
90,2.02E-03,202.3,7.24E+13,8.50E-01,0.8,3.05E-04,4.21E-04,1.40E-01
95,9.07E-04,211,3.12E+13,5.40E-01,0.8,2.71E-04,3.58E-04,1.30E-01
100,4.23E-04,218.5,1.40E+13,0.4,0.4,2.44E-04,3.08E-04,1.20E-01
105,2.07E-04,234,6.41E+12,0.34,0.2,2.21E-04,2.68E-04,1.10E-01
110,1.08E-04,252.6,3.10E+12,0.28,0.05,2.02E-04,2.35E-04,9.50E-02
115,6.00E-05,288.5,1.51E+12,0.24,0.005,1.84E-04,2.08E-04,6.00E-02
120,3.59E-05,333,7.81E+11,0.2,5.00E-04,0.000185,1.85E-04,3.00E-02
