tropical,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1.01E+03,299.7,2.45E+19,2.59E+04,2.97E-02,3.20E-01,1.50E-01,1.70E+00
1,9.04E+02,293.7,2.23E+19,1.25E+04,3.15E-02,3.20E-01,1.45E-01,1.70E+00
2,8.05E+02,287.7,2.03E+19,1.53E+04,3.34E-02,3.20E-01,1.40E-01,1.70E+00
3,7.15E+02,283.7,1.83E+19,8.60E+03,3.50E-02,3.20E-01,1.35E-01,1.70E+00
4,6.33E+02,277,1.66E+19,4.44E+03,3.56E-02,3.20E-01,1.31E-01,1.70E+00
5,5.59E+02,270.3,1.50E+19,3.35E+03,3.77E-02,3.20E-01,1.30E-01,1.70E+00
6,4.92E+02,263.6,1.35E+19,2.10E+03,3.99E-02,3.20E-01,1.29E-01,1.70E+00
7,4.32E+02,257,1.22E+19,1.29E+03,4.22E-02,3.20E-01,1.25E-01,1.70E+00
8,3.78E+02,250.3,1.10E+19,7.64E+02,4.47E-02,3.20E-01,1.19E-01,1.70E+00
9,3.29E+02,243.6,9.79E+18,4.10E+02,5.00E-02,3.20E-01,1.09E-01,1.69E+00
10,2.86E+02,237,8.75E+18,1.91E+02,5.60E-02,3.18E-01,9.96E-02,1.69E+00
11,2.47E+02,230.1,7.78E+18,7.31E+01,6.61E-02,3.14E-01,8.96E-02,1.68E+00
12,2.13E+02,223.6,6.90E+18,2.91E+01,7.82E-02,3.10E-01,7.81E-02,1.66E+00
13,1.82E+02,217,6.08E+18,9.00E+00,9.29E-02,3.05E-01,6.37E-02,1.65E+00
14,1.58E+02,210.3,5.38E+18,6.22E+00,1.05E-01,3.00E-01,5.03E-02,1.63E+00
15,1.32E+02,203.7,4.70E+18,4.00E+00,1.26E-01,2.94E-01,3.94E-02,1.61E+00
16,1.11E+02,197,4.08E+18,3.00E+00,1.44E-01,2.88E-01,3.07E-02,1.58E+00
17,9.37E+01,164.8,3.49E+18,2.90E+00,2.50E-01,2.78E-01,2.49E-02,1.55E+00
18,7.89E+01,168.8,2.88E+18,2.75E+00,5.00E-01,2.67E-01,1.97E-02,1.52E+00
19,6.66E+01,202.7,2.38E+18,2.60E+00,9.50E-01,2.53E-01,1.55E-02,1.48E+00
20,5.65E+01,206.7,1.98E+18,2.60E+00,1.40E+00,2.37E-01,1.33E-02,1.42E+00
21,4.80E+01,210.7,1.65E+18,2.65E+00,1.80E+00,2.19E-01,1.23E-02,1.36E+00
22,4.09E+01,214.6,1.38E+18,2.80E+00,2.40E+00,2.05E-01,1.23E-02,1.27E+00
23,3.50E+01,217,1.17E+18,2.90E+00,3.40E+00,1.97E-01,1.31E-02,1.19E+00
24,3.00E+01,219.2,9.92E+17,3.20E+00,4.30E+00,1.88E-01,1.40E-02,1.12E+00
25,2.57E+01,221.4,8.41E+17,3.25E+00,5.40E+00,1.76E-01,1.50E-02,1.06E+00
27.6,1.76E+01,227,5.63E+17,3.60E+00,7.80E+00,1.59E-01,1.60E-02,9.87E-01
