us standard,,,,,,,,
altitude Km,pressure mB,temp K,mol*cm-3,h2o ppmv,o3 ppmv,n2o ppmv,co ppmv,ch4 ppmv
0,1.01E+03,288.2,2.55E+19,7.75E+03,2.66E-02,0.31,1.50E-01,1.70E+00
1,8.99E+02,281.7,2.31E+19,5.07E+03,2.93E-02,0.31,1.45E-01,1.70E+00
2,7.95E+02,275.2,2.09E+19,4.63E+03,3.24E-02,0.31,1.40E-01,1.70E+00
3,7.01E+02,268.7,1.89E+19,3.18E+03,3.32E-02,0.31,1.35E-01,1.70E+00
4,6.17E+02,262.2,1.70E+19,2.16E+03,3.39E-02,0.308,1.31E-01,1.70E+00
5,5.41E+02,255.7,1.53E+19,1.40E+03,3.77E-02,0.302,1.30E-01,1.70E+00
6,4.72E+02,249.2,1.37E+19,9.25E+02,4.11E-02,0.291,1.29E-01,1.70E+00
7,4.11E+02,242.7,1.23E+19,5.72E+02,5.01E-02,0.282,1.25E-01,1.70E+00
8,3.57E+02,236.2,1.09E+19,3.67E+02,5.97E-02,0.276,1.19E-01,1.69E+00
9,3.08E+02,229.7,9.72E+18,1.58E+02,9.17E-02,0.27,1.09E-01,1.69E+00
10,2.65E+02,223.3,8.60E+18,7.00E+01,1.31E-01,0.265,9.96E-02,1.68E+00
11,2.27E+02,216.8,7.59E+18,3.61E+01,2.15E-01,0.26,8.96E-02,1.66E+00
12,1.94E+02,216.7,6.49E+18,19.1,3.10E-01,0.255,7.81E-02,1.65E+00
13,1.56E+02,216.7,5.55E+18,10.9,3.85E-01,0.249,6.37E-02,1.63E+00
14,1.42E+02,216.7,4.74E+18,5.93,5.03E-01,0.243,5.03E-02,1.61E+00
15,1.21E+02,216.7,4.05E+18,5,6.51E-01,0.236,3.94E-02,1.58E+00
16,1.04E+02,216.7,3.46E+18,3.95,8.70E-01,0.228,3.07E-02,1.55E+00
17,8.65E+01,216.7,2.96E+18,3.85,1.19E+00,0.218,2.49E-02,1.52E+00
18,7.57E+01,216.7,2.53E+18,3.83,1.59E+00,0.204,1.97E-02,1.48E+00
19,6.47E+01,216.7,2.16E+18,3.85,2.03,0.182,1.55E-02,1.42E+00
20,5.53E+01,216.7,1.85E+18,3.9,2.58,0.157,1.33E-02,1.36E+00
21,4.73E+01,217.6,1.58E+18,3.98,3.03,0.135,1.23E-02,1.27E+00
22,4.05E+01,218.6,1.34E+18,4.07,3.65,0.122,1.23E-02,1.19E+00
23,3.47E+01,219.6,1.14E+18,4.2,4.17E+00,0.11,1.31E-02,1.12E+00
24,2.97E+01,220.6,9.77E+17,4.3,4.63,0.0989,1.40E-02,1.06E+00
25,2.55E+01,221.6,8.34E+17,4.43,5.12,0.0878,1.50E-02,9.87E-01
27.6,1.74E+01,224,5.64E+17,4.58,5.8,0.0733,1.60E-02,9.14E-01
30,1.20E+01,226.5,3.83E+17,4.73,6.55,0.0594,1.71E-02,8.30E-01
32.6,8.01E+00,230,2.52E+17,4.83,7.37,0.0415,1.85E-02,7.46E-01
35,5.746,236.5,1.75E+17,4.9,7.84,0.0303,2.01E-02,6.62E-01
37.5,4.15,242.9,1.24E+17,4.95,7.8,0.0195,2.22E-02,5.64E-01
40,2.871,250.4,8.31E+16,5.03,7.3,0.0127,2.50E-02,4.61E-01
42.5,2.06E+00,257.3,5.80E+16,5.15,6.20E+00,9.00E-03,2.82E-02,3.63E-01
45,1.491,264.2,4.09E+16,5.23,5.25,6.29E-03,3.24E-02,2.77E-01
47.5,1.09E+00,270.6,2.92E+16,5.25,4.10E+00,4.56E-03,3.72E-02,2.10E-01
50,7.98E-01,270.7,2.14E+16,5.23E+00,3.1,2.80E-03,4.60E-02,1.65E-01
55,4.25E-01,260.8,1.18E+16,5.1,1.80E+00,1.77E-03,6.64E-02,1.50E-01
60,2.19E-01,247,6.43E+15,4.75E+00,1.1,1.21E-03,1.07E-01,1.50E-01
65,1.09E-01,233.3,3.39E+15,4.20E+00,7.00E-01,8.87E-04,1.86E-01,1.50E-01
70,5.22E-02,219.6,1.72E+15,3.5,0.3,6.76E-04,3.06E-01,1.50E-01
75,2.40E-02,208.4,8.35E+14,2.83E+00,2.50E-01,5.54E-04,6.38E-01,1.50E-01
80,1.05E-02,198.6,3.83E+14,2.05,3.00E-01,4.65E-04,1.50E+00,1.50E-01
85,4.46E-03,188.9,1.71E+14,1.33,0.5,3.98E-04,3.24E+00,1.50E-01
90,1.84E-03,186.9,7.14E+13,8.50E-01,0.7,3.05E-04,5.84E+00,1.40E-01
95,7.60E-04,188.4,2.92E+13,5.40E-01,0.7,2.71E-04,1.01E+01,1.30E-01
100,3.20E-04,195.1,1.19E+13,0.4,0.4,2.44E-04,1.69E+01,1.20E-01
105,1.45E-04,208.8,5.03E+12,0.34,0.2,2.21E-04,2.47E+01,1.10E-01
110,7.10E-05,240,2.14E+12,0.28,0.05,2.02E-04,3.36E+01,9.50E-02
115,4.01E-05,300,9.69E+11,0.24,0.005,1.84E-04,4.15E+01,6.00E-02
120,2.54E-05,360,5.11E+11,0.2,5.00E-04,0.000185,5.00E+01,3.00E-02
